Round,0,1,2,3,4,5,6,7,8,9,test,A
0.0,46.50909269298854,44.79038227930816,45.2647134875432,46.16694664898931,46.39881569238864,45.25950025443553,46.61088614295216,45.699631276719565,46.16238269599908,46.053499375047494,41.55561356248621,45.497405828077994
1.0,21.15327250096306,20.887159632175937,25.517973904436456,20.48731788428629,21.372806905037063,26.133940558612544,25.55289373863494,21.440942604638227,23.003708250230414,22.02612903138956,27.609896712671254,23.198731065734158
2.0,19.703680262051062,17.72400147459609,24.49288276525129,20.97234376222313,20.554745403282183,22.916430366916195,23.679918188005317,19.48011822611751,21.302810927621003,20.499417924758408,24.302642000472396,21.42081739102678
3.0,18.947004595827195,16.94543406336064,23.62207142273474,20.17943797029231,20.08822399228121,22.19593947108133,22.8113561892187,18.98738803893299,20.607521743105796,19.971104920316282,23.77840355419046,20.73944417830379
4.0,18.55243654109422,16.259368543387147,22.92816887006843,19.72318349773069,19.50857199037171,21.51350014471291,22.014817536425536,18.443857318975724,19.91590367003568,19.647647691631004,23.422046989028306,20.17540934486012
5.0,18.504454205392094,15.33274729617747,22.308361535190468,19.822965246699976,18.77856629250362,20.54400080895348,21.128205366564355,17.705901908751887,19.19907688464881,19.49856562107318,22.705617013094194,19.593496561731772
6.0,18.364542158502243,15.131396745854916,21.89583341076455,19.675302365995787,18.066560387855983,20.145806402946494,20.633374542704622,17.138322757306028,18.66060476420889,19.228486957983964,22.67469615459323,19.237720604428795
7.0,18.366426504864624,15.097806334150523,21.465137694188424,19.525239700233197,17.664964317978928,19.785858437070576,20.18439017987895,16.952797375866542,18.312529996775773,19.057226633560578,22.478248763648576,18.990056903474244
8.0,18.3882742961866,15.01058027331394,21.2673348125546,19.749840071791166,17.31300237594656,19.415576211108828,19.87665056776339,16.73146055970421,17.995821997758256,19.00659868195862,22.38851639800874,18.831241476917718
9.0,18.470267657874253,14.890810473989172,21.13573512599943,19.960419208046144,17.098492900623032,18.990742887777916,19.59947303530681,16.537351005269386,17.772275889238358,18.97537724015652,22.323646304449724,18.70496288443007
10.0,18.512409069345384,14.813523398026115,20.95046531870623,20.17726466291563,17.038268156919862,18.737876940212903,19.4827867486196,16.442994566455955,17.635538183771143,19.022804628846547,22.33593203480171,18.649987609874643
11.0,18.411214214111208,15.091581390212951,20.84835924604028,19.84937558669392,16.777243251299698,18.753961983748678,19.197205117573024,16.454944477387528,17.474456455580206,18.902418419851482,22.37881795180259,18.558143463118324
12.0,18.440670245188944,14.8775176153654,20.836665423636347,20.36327413137704,16.742694229382373,18.406153835699556,19.20972619071562,16.137533358916915,17.39401149080302,18.910281724046644,22.310627492768862,18.51174143071825
13.0,18.295822517231393,15.099588027285712,20.76191534772864,20.035628056079563,16.558142668277952,18.67243477848137,18.97544237508254,16.16021526382142,17.347992689121035,18.700758093496756,22.582147133092217,18.471826086336236
14.0,18.348828420216133,15.192460368576949,20.70906606973064,20.02643135660618,16.39689465407627,18.6005182337604,18.708967145734054,15.966661529434004,17.29746604398947,18.562666869778152,22.74543867391328,18.414127215074135
15.0,18.184883899585564,15.191907455090142,20.60732478311527,19.988937370143017,16.35392604901945,18.51486845764523,18.657787572736886,15.736052619725864,17.20599502058621,18.405414348602697,22.869099841031403,18.337836128843794
16.0,18.14036508615481,15.114159600671494,20.642181822911944,20.016191413482535,16.229906071022675,18.43479853090345,18.4803287982177,15.62345060677393,17.18369986398811,18.34763836956229,22.788455864826055,18.272834184410453
17.0,18.04308418654889,15.052597399670347,20.558689865940053,19.97856211882971,16.200781833950174,18.506269887432325,18.31925303439748,15.423513400811114,17.206030493741505,18.15525576155781,22.919624868255642,18.214878441012278
18.0,17.757076088723142,14.938657835455121,20.49766266686735,20.00950091714246,16.285939074042904,18.55515459938373,18.495945666645856,15.2353520319711,17.211406491851104,18.190036872042068,23.071370721581676,18.20437299688241
19.0,17.70629057228188,15.008395071006822,20.558816040623242,19.726047332382,16.195082608112678,18.660341462734795,18.357277971992897,15.315448337011617,17.164803017992497,18.13750578803319,23.059797754120428,18.171800541481094
